date,deal,amount,open,high,low,close,RD,volume,MA5,MA10,MA20,MA30,SMA5,SMA10,SMA20,SMA30,EMA5,EMA10,EMA20,EMA30,WMA5,WMA10,WMA20,WMA30,next_high,next_low,change_n_pct,signal,high_max,threshold,target,upper_band,middle_band,lower_band
2010-03-16,29927456,1791764421,60.1,60.2,59.7,59.7,-0.1,7444,60.61999999999999,60.519999999999996,59.670000000000016,59.583333333333336,60.61999999999999,60.519999999999996,59.670000000000016,59.583333333333336,60.28176517897227,60.289744358526185,60.203926764908765,60.572515803935666,60.28666666666665,60.55818181818183,60.150952380952404,59.8068817204301,63.879000000000005,55.52100000000001,0.5025125628140656,0,60.5,62.08800000000001,0.013400335008375161,61.94429109834121,59.670000000000016,57.39570890165882
2010-03-17,69118250,4174403125,60.5,60.9,59.9,60.5,0.8,10228,60.43999999999998,60.56999999999999,59.82500000000001,59.59666666666667,60.43999999999998,60.56999999999999,59.82500000000001,59.59666666666667,60.354510119314845,60.32797265697597,60.23212421586984,60.56783736497207,60.246666666666655,60.55454545454547,60.230000000000025,59.86602150537634,64.735,56.265,-2.479338842975207,0,60.5,62.92,0.0,61.870360603902746,59.82500000000001,57.779639396097274
2010-03-18,70256871,4238210166,60.1,60.6,60.0,60.4,-0.1,10353,60.23999999999999,60.68999999999998,59.91500000000002,59.62333333333334,60.23999999999999,60.68999999999998,59.91500000000002,59.62333333333334,60.369673412876566,60.34106853752579,60.248112385786996,60.557009147877096,60.23333333333332,60.523636363636385,60.28476190476193,59.91784946236558,64.628,56.172000000000004,-1.3245033112582734,0,60.4,62.816,0.0,61.894166491226386,59.91500000000002,57.935833508773655
2010-03-19,46018065,2758221800,60.0,60.3,59.7,60.0,-0.4,12648,60.079999999999984,60.64999999999999,59.99500000000002,59.62333333333334,60.079999999999984,60.64999999999999,59.99500000000002,59.62333333333334,60.24644894191771,60.27905607615747,60.22448263475966,60.52107307382051,60.153333333333315,60.39818181818185,60.29285714285716,59.9421505376344,64.2,55.800000000000004,1.0000000000000024,0,60.6,62.400000000000006,0.010000000000000024,61.84807851965172,59.99500000000002,58.141921480348316
2010-03-22,47084489,2782670724,59.6,59.6,58.8,59.0,-1.0,14854,59.91999999999998,60.429999999999986,59.99500000000002,59.540000000000006,59.91999999999998,60.429999999999986,59.99500000000002,59.540000000000006,59.83096596127847,60.046500425947016,60.10786524097303,60.422939327122414,59.793333333333315,60.09818181818184,60.198095238095256,59.90193548387096,63.13,54.870000000000005,4.23728813559322,0,61.5,61.36,0.0423728813559322,61.84807851965172,59.99500000000002,58.141921480348316
2010-03-23,51751303,3093844050,59.5,60.1,59.5,59.6,0.6,10645,59.89999999999999,60.25999999999999,59.985000000000014,59.53333333333334,59.89999999999999,60.25999999999999,59.985000000000014,59.53333333333334,59.75397730751898,59.96531853032029,60.05949712278512,60.369846467308065,59.686666666666646,59.94727272727276,60.16047619047621,59.90580645161289,63.772000000000006,55.428000000000004,4.02684563758389,0,62.0,61.984,0.0402684563758389,61.844327835536184,59.985000000000014,58.12567216446384
2010-03-24,48661236,2940235842,60.1,60.8,60.1,60.6,1.0,10606,59.919999999999995,60.17999999999999,60.09000000000001,59.58666666666667,59.919999999999995,60.17999999999999,60.09000000000001,59.58666666666667,60.03598487167932,60.08071516117115,60.11097358728178,60.38469508232045,59.91999999999998,60.00909090909094,60.219047619047636,59.974623655913966,64.842,56.358000000000004,2.6402640264026425,0,62.2,63.024,0.026402640264026424,61.83573766643213,60.09000000000001,58.34426233356789
2010-03-25,64155258,3908737600,60.9,61.5,60.2,61.5,0.9,13334,60.139999999999986,60.19,60.25500000000001,59.64333333333334,60.139999999999986,60.19,60.25500000000001,59.64333333333334,60.523989914452876,60.33876695004912,60.243261817064464,60.45665023829977,60.446666666666644,60.24909090909094,60.35333333333335,60.09806451612902,65.805,57.195,1.1382113821138258,0,62.2,63.96,0.011382113821138257,61.87422821121617,60.25500000000001,58.63577178878385
2010-03-26,81172895,4989163519,61.3,62.0,60.3,62.0,0.5,16419,60.539999999999985,60.31,60.415000000000006,59.74000000000001,60.539999999999985,60.31,60.415000000000006,59.74000000000001,61.01599327630192,60.64080932276746,60.41057021543928,60.55622119066753,61.06666666666664,60.57818181818185,60.519523809523825,60.25010752688171,66.34,57.660000000000004,-0.8064516129032258,0,62.2,64.48,0.003225806451612949,62.05971882095368,60.415000000000006,58.770281179046336
2010-03-29,37559622,2333337564,62.0,62.3,61.7,62.2,0.2,9423,61.179999999999986,60.55000000000001,60.545000000000016,59.90666666666667,61.179999999999986,60.55000000000001,60.545000000000016,59.90666666666667,61.41066218420128,60.924298536809744,60.58099209968316,60.66227143643091,61.619999999999976,60.92181818181821,60.68952380952382,60.408817204301066,66.554,57.846000000000004,-0.1607717041800666,0,62.2,64.688,0.0,62.31754054960532,60.545000000000016,58.77245945039471
